publisher	wordcount	price	sentiment	numreviews	numbooks
Page	820.0	-0.17732396061325656	3.70060080107	3.888888888888889	9
Small	1100.0	-0.1719907536425362	3.46024972341	5.484848484848484	66
Doubleday	1410.0	-0.24465051671439053	3.5	7.459074733096085	281
Oxford	630.0	-0.30554922869313406	2.49606506352	4.5	2
Doran	1405.0	-0.20263105733618758	3.4875638717950004	7.0423728813559325	708
Harper	1595.0	-0.17732396061325656	3.456982776815	7.990909090909091	330
Harcourt	2790.0	-0.15697795058614264	3.4647885332649997	10.852459016393443	122
Stokes	1055.0	-0.20263105733618758	3.4753487667100003	6.670588235294118	170
Cassell	2180.0	-0.15697795058614264	3.3887925720450003	9.541666666666666	48
Putnam	1310.0	-0.15697795058614264	3.43366972477	7.39766081871345	171
Liveright	2660.0	-0.11531675542345309	3.4332177531200005	8.751552795031056	161
Lane	1020.0	-0.035237202534306275	3.56048064085	5.52	75
Farrar	1520.0	-0.2750013790834384	3.4332177531200005	6.24	25
Macmillan	2200.0	-0.06494949615959823	3.4894936507450005	8.41891891891892	222
Baker	2795.0	-0.09610757656022445	3.5695659897400005	8.5	2
Wilde	215.0	-0.16425530630164842	3.593349286405	2.0	2
Barnes	570.0	-0.03891713907894182	3.04723089374	6.0	1
Yale	2940.0	-0.6071802054550383	3.03703703704	9.0	1
Scribner	1705.0	-0.16245822067170168	3.513533953335	8.281609195402298	174
Bobbs	1390.0	-0.20263105733618758	3.4934059633	6.751412429378531	177
Morrow	1290.0	-0.24465051671439053	3.3894495412800003	7.258064516129032	31
Knopf	2685.0	-0.005694476601087312	3.4336356672150004	8.888235294117647	340
Benziger	490.0	-0.11531675542345309	3.4	4.363636363636363	11
Little	1530.0	-0.17465735712789637	3.46016096579	7.759656652360515	233
Dutton	1475.0	-0.11531675542345309	3.4814725962899997	7.404411764705882	272
Houghton	1300.0	-0.15851647089297957	3.5336003560300004	7.25764192139738	229
Viking	3315.0	-0.06494949615959823	3.503423317685	12.130434782608695	46
bestsellers	5630.0	-0.08713219506383092	3.55471551808	15.285714285714286	35
Ditson	870.0	2.0968492720329885e-16	3.11563475546	8.0	1
pulitzer	5040.0	-0.15697795058614264	3.5036939465099994	15.128205128205128	39
Moffat	940.0	-0.0557068013422187	3.52338244715	4.111111111111111	9
McBride	1295.0	-0.20263105733618758	3.511258318595	7.064102564102564	78
unknown	1350.0	-0.15697795058614264	3.49063475546	6.936740528949249	2798
Century	1060.0	-0.21113133217676255	3.52338244715	6.392156862745098	153
Holt	1780.0	-0.15697795058614264	3.49358372457	8.023529411764706	85
Crowell	480.0	-0.30620889740403706	3.571497756935	4.181818181818182	22
Pott	2860.0	-1.0367154711713678	3.47712680578	7.0	1
Simmons	2270.0	-0.2750013790834384	3.4761213879800006	8.851851851851851	27
McClure	795.0	-0.16792021575311805	3.561558021265	3.9	10
Dodd	1050.0	-0.20263105733618758	3.46407208887	6.338192419825073	343
Appleton	1020.0	-0.11531675542345309	3.4466292134800005	6.610108303249097	277
Lippincott	1060.0	-0.24465051671439053	3.3989859803849996	5.95	60
Macaulay	725.0	-0.2750013790834384	3.3164862480700004	4.631578947368421	76
Cosmopolitan	1550.0	-0.20263105733618758	3.4046961326	7.431372549019608	51
Brentano's	1240.0	-0.12699317498733337	3.48045572187	5.984126984126984	63
Longmans	1430.0	-0.019106974199336622	3.45667707249	6.76056338028169	71
